load bus POLA;netconsumption network (kWh);consumer (type 1);aggregate load consumer
5;5058,902612;160;5065,746954
11;5129,958066;364;5149,340903
14;6752,500633;32;6733,438
17;1294,487956;65;1289,494
19;3334,329463;212;3334,526
21;6254,625106;186;6137,977952
23;2765,146319;257;2771,077
31;1217,362548;828;1219,060953
34;1726,486048;532;1723,996781
40;1575,861211;101;1573,18
43;1434,068123;290;1427,399
45;1401,930064;1174;1410,826453
48;1688,982356;63;1684,836
50;1197,272907;1100;1196,373003
52;1698,933132;1208;1709,890907
53;3306,976859;595;3296,771
56;2668,746504;138;2669,736949
60;2844,962545;283;2849,653
62;1165,899264;8;1149,911
64;3117,500991;200;3116,47795
65;4601,540893;248;4603,796951
66;8070,936631;612;7119,939
67;6785,228687;447;6796,148
68;3073,923654;119;3100,429951
70;3087,677811;119;3100,429951
72;3955,076374;141;3947,109
75;2789,12249;165;2786,93995
76;6388,746791;335;6396,25
